#ID	Group	Solicit	Course	Entity	Day	Hour	Bld	Type	Room	Vacanc	NPupils	Priori	Special
2120 149 0 169 - 2 13 1 1 -1 60 - 0 - 
2129 150 0 169 - 2 12 1 1 -1 60 - 0 - 
2130 150 0 169 - 2 13 1 1 -1 60 - 0 - 
2131 150 0 169 - 4 12 1 1 -1 60 - 0 - 
2132 150 0 169 - 4 13 1 1 -1 60 - 0 - 
2151 151 0 169 - 2 12 1 1 -1 60 - 0 - 
2152 151 0 169 - 2 13 1 1 -1 60 - 0 - 
2153 151 0 169 - 4 12 1 1 -1 60 - 0 - 
2154 151 0 169 - 4 13 1 1 -1 60 - 0 - 
4019 309 0 14 - 3 2 1 1 -1 60 - 0 - 
4020 309 0 14 - 3 3 1 1 -1 60 - 0 - 
4060 311 0 14 - 2 8 1 1 -1 60 - 0 - 
4061 311 0 14 - 2 9 1 1 -1 60 - 0 - 
4173 323 0 144 - 1 9 13 1 -1 75 - 0 - 
4174 323 0 144 - 1 10 13 1 -1 75 - 0 - 
4175 323 0 144 - 1 11 13 1 -1 75 - 0 - 
4176 323 0 144 - 1 12 13 1 -1 75 - 0 - 
4361 338 0 218 - 2 4 17 1 -1 40 - 0 - 
4412 345 0 218 - 3 5 17 1 -1 40 - 0 - 
4427 349 0 218 - 2 3 17 1 -1 40 - 0 - 
4428 349 0 218 - 2 4 17 1 -1 40 - 0 - 
4431 349 0 218 - 2 3 17 1 -1 40 - 0 - 
4432 349 0 218 - 2 4 17 1 -1 40 - 0 - 
4435 349 0 218 - 2 3 17 1 -1 40 - 0 - 
4436 349 0 218 - 2 4 17 1 -1 40 - 0 - 
4567 361 0 215 - 5 3 17 1 -1 40 - 0 - 
4568 361 0 215 - 5 4 17 1 -1 40 - 0 - 
4576 361 0 215 - 3 4 17 1 -1 40 - 0 - 
4577 361 0 215 - 3 5 17 1 -1 40 - 0 - 
4614 362 0 215 - 2 3 17 1 -1 40 - 0 - 
4615 362 0 215 - 2 4 17 1 -1 40 - 0 - 
4627 362 0 215 - 3 2 17 1 -1 40 - 0 - 
4628 362 0 215 - 3 3 17 1 -1 40 - 0 - 
4629 362 0 215 - 3 4 17 1 -1 40 - 0 - 
4630 362 0 215 - 3 5 17 1 -1 40 - 0 - 
4638 362 0 215 - 4 2 17 1 -1 40 - 0 - 
4842 364 0 215 - 2 2 17 1 -1 40 - 0 - 
